,Dataset,Method,Constraint,Avg Alpha-P,Std Alpha-P,Avg ViolationAcc,Std ViolationAcc,Avg ks,Std ks,Avg detect,Std detect,Avg identifiability,Std identifiability
0,adult,GReaT,range,0.9215217343889724,0.0050091139601279,83.57685009487668,0.690321433152987,0.9623840396373604,0.0002423638856348,0.9534081794220048,0.0027468120436428,0.1957305502846299,0.0104863391875886
1,adult,harpoon_ohe,range,0.9187820890313856,0.0044377848155728,3.178368121442125,0.2814496579542946,0.9503320683111957,0.0006631365316559,0.9054459283028572,0.0030004432179077,0.2526565464895635,0.007241768363287
2,adult,DiffPuter_Remastered,range,0.8287077144539685,0.0164836084244803,73.86148007590133,1.0301875372402547,0.9368270785016516,0.0006763863885541,0.9439546381748972,0.0027971026981156,0.1685009487666034,0.008136192248394
3,adult,GReaT,category,0.7246204620462047,0.0184075593238123,0.0,0.0,0.9740328199486616,0.0017946583634244,0.7484296760368255,0.014361047473068,0.4425742574257426,0.0280654213525908
4,adult,harpoon_ohe,category,0.8571787868442016,0.0214199450488379,2.1782178217821784,0.3637856053638383,0.9665108177484416,0.0006565231591915,0.7333750179145425,0.013706993413777,0.4594059405940593,0.0198390741678355
5,adult,DiffPuter_Remastered,category,0.8331683168316832,0.0192698015385995,0.0,0.0,0.951971030436377,0.0005370279288451,0.8466344819114304,0.006472304013197,0.4059405940594059,0.0119223708700913
6,adult,GReaT,both,0.8952912307890998,0.0108499768383025,80.2247191011236,3.378268849072562,0.963712026633375,0.0021396162447915,0.9218212005108558,0.0113564511034467,0.3078651685393258,0.0447185364991739
7,adult,harpoon_ohe,both,0.8196667958155753,0.0491188643105943,3.370786516853933,1.42124838659253,0.9628797336662508,0.0011648385353539,0.6416628352490422,0.0159233609944359,0.4696629213483146,0.058771671148863
8,adult,DiffPuter_Remastered,both,0.7347849670670283,0.0371226802124135,78.87640449438202,6.411389940533531,0.937973366625052,0.0012850102086263,0.9130166028097062,0.0135795333516863,0.3011235955056179,0.0468149812494374
9,default,GReaT,range,0.6695580338703015,0.0078769006206989,95.365551425031,0.8316213995322205,0.9152525293789237,0.0021904616709354,0.9873546063026584,0.0023342954910389,0.0768277571251548,0.008620831291661
10,default,harpoon_ohe,range,0.7869805865344899,0.0174826598466906,7.781908302354398,0.6894883639773755,0.937941364707164,0.0032232442298022,0.8859569841949853,0.0042016706289417,0.3065675340768278,0.0062990161224975
11,default,DiffPuter_Remastered,range,0.6486906237092112,0.0175891375017364,88.52540272614621,1.2054906078825594,0.934569767283522,0.0009846595292052,0.9424174163799102,0.0072890884259818,0.1548946716232961,0.0073935236134702
12,default,GReaT,category,0.849772368717602,0.0063962374820933,0.0,0.0,0.92928842624583,0.0024898509552746,0.7930321320666477,0.0068694735315322,0.2900608519269776,0.0086375764287606
13,default,harpoon_ohe,category,0.9197115167906244,0.0073258105048262,0.9060175794455712,0.1940865462394499,0.9509023768658658,0.0016728489181873,0.8085733055200116,0.0051372399705661,0.3959432048681541,0.0102504901464488
14,default,DiffPuter_Remastered,category,0.8527743971151679,0.0150273474490514,0.0,0.0,0.9424737534271004,0.0025238726909633,0.7458948607071002,0.0082130337177703,0.4442190669371196,0.0092013662400021
15,default,harpoon_ohe,both,0.8723050538222952,0.0130914115951826,2.984126984126984,0.7671775221329888,0.9448037676609106,0.002895760950904,0.816495842781557,0.0047118840387718,0.3752380952380952,0.0362739221767255
16,default,DiffPuter_Remastered,both,0.5906031746031746,0.0330713412767095,91.3015873015873,0.8659162982213212,0.9310518053375196,0.0055611692154548,0.9528949357520788,0.0062117798294785,0.1536507936507936,0.0107374822382779
17,shoppers,GReaT,range,0.8766069894345756,0.0043929566435382,96.52525252525253,0.4633270683304903,0.9108498316498318,0.0004726179044107,0.9942601775329049,0.0010699512889411,0.0711111111111111,0.0072446145765822
18,shoppers,harpoon_ohe,range,0.6036228956228956,0.0082147595857273,20.545454545454543,0.9488499851165568,0.92183164983165,0.0009936072004251,0.8740581573308847,0.0038740988924234,0.4355555555555556,0.007834634112996
19,shoppers,DiffPuter_Remastered,range,0.6837311041448974,0.0074954834544842,76.68686868686868,1.605266305076275,0.9072619528619528,0.0008416549440322,0.9373731251913072,0.0039995740542529,0.2915151515151515,0.0153800939884236
20,shoppers,GReaT,category,0.8579885057471264,0.0305906427258526,0.0,0.0,0.9336206896551724,0.00137871155585,0.9127417057448276,0.0026709641331866,0.2780172413793103,0.019799455306648
21,shoppers,harpoon_ohe,category,0.7080459770114942,0.0337783658926556,0.0,0.0,0.8990919540229886,0.0005788928435352,0.864535895599371,0.0083114153089071,0.4693965517241379,0.0116777734346069
22,shoppers,DiffPuter_Remastered,category,0.524712643678161,0.0235055012212076,0.0,0.0,0.8932471264367816,0.001323462271743,0.8864962273245311,0.0048455998005411,0.409051724137931,0.0151415241984916
23,shoppers,GReaT,both,0.7336865342163355,0.0247609311976496,95.2317880794702,1.0596026490066217,0.918852097130243,0.0025597927882263,0.9899335947712418,0.0044338175451676,0.0701986754966887,0.0115467521683196
24,shoppers,harpoon_ohe,both,0.8092562990028164,0.0457989258567624,12.052980132450331,1.0596026490066224,0.8936688741721855,0.0028988304852886,0.8226875816993464,0.0124414996241107,0.5099337748344371,0.0254773298830083
25,shoppers,DiffPuter_Remastered,both,0.7648504224708838,0.0172667162393486,78.67549668874172,3.281989852546721,0.8833907284768214,0.001315169466625,0.9417364705882352,0.0108583073480095,0.2741721854304636,0.0190101988005395
26,default,GReaT,both,0.6103280423280424,0.0187228754559686,94.79365079365078,1.7686842256741733,0.9179347636490494,0.0036996398675474,0.9835948601662888,0.0052148927839892,0.0679365079365079,0.0196312696301464
27,adult,GReaT,or,0.8819231407820645,0.0086326008113471,67.13990920346677,0.3081824961220692,0.9717414897357118,0.0003645898765077,0.8969779094476122,0.0031461561061143,0.2420140321914981,0.0049290957084056
28,adult,harpoon_ohe,or,0.863468389618645,0.0041800808750757,2.690879075526207,0.2369409838119243,0.9488856789104416,0.000674801327364,0.9196139937018106,0.0029854684028777,0.2315311597193561,0.0067108465948585
29,adult,DiffPuter_Remastered,or,0.8756480282351602,0.0043014880575937,63.21914981427981,0.569123043365686,0.9433828587150916,0.0004605029936766,0.9245630278986344,0.0044208921799136,0.2199752373091209,0.0029183111068367
30,default,GReaT,or,0.9040580369378984,0.0042329897751766,24.03855910705225,0.1376424146752975,0.9295376363869512,0.0024180083267814,0.8431805317128809,0.0052473214592956,0.2366311516996448,0.0082223093170503
31,default,harpoon_ohe,or,0.6460882800608827,0.0126634093194024,3.9269406392694064,0.3804836785236464,0.9233824521495754,0.0019912389677088,0.9439357749776632,0.001563284183661,0.2002029426686961,0.0040154964865366
32,default,DiffPuter_Remastered,or,0.8800163287204696,0.0093571193343085,23.033992897006595,0.2587021569554932,0.9437179765946888,0.0019502098845138,0.7963799290627338,0.0033904441008312,0.3709791983764586,0.0046654749599483
33,shoppers,GReaT,or,0.8208032744947555,0.019376836334592,65.75594781273983,0.3270495127039544,0.9221038628805324,0.0008593258231284,0.9797224665219826,0.0015353160529107,0.140905602455871,0.0067536454336147
34,shoppers,harpoon_ohe,or,0.4789357892044001,0.0084918891718278,19.55487336914812,0.4640434829725547,0.9140322333077512,0.0011062291536248,0.8988512598097238,0.0027898291885299,0.3749808135072908,0.0060351813511396
35,shoppers,DiffPuter_Remastered,or,0.5349194167306216,0.006499638174946119,50.56024558710668,0.415847035583855,0.902317728319263,0.0008047168713281926,0.9322799518218904,0.0032410316319858253,0.30360706062931697,0.012597565328431742
