,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc,Avg Runtime,STD of Runtime
0,adult,harpoon_ohe_mae,MAR,0.25,0.9948079570388336,0.0804553756585225,69.43810468762238,3.1101780358686826,4.425742731057108,0.3366017346898284
1,adult,GReaT,MAR,0.25,3.695183101236132,3.26104902124536,22.88130079788213,1.5555344109210885,65.47183435289189,2.573027158347391
2,adult,DiffPuter_Remastered,MAR,0.25,1.0411413570803494,0.0936539533934479,69.46901820399744,3.045375854500335,2.8298859431408347,0.2741019269328506
3,adult,Remasker,MAR,0.25,0.916341428565107,0.0444929501881971,46.80946336598372,11.194010827302185,2.6760016389191152,5.238630836310621
4,adult,GAIN,MAR,0.25,1.862996051571996,0.0417408868460045,22.11284805871973,6.974775786561508,0.1377553993836045,0.2637365000669672
5,adult,Miracle,MAR,0.25,2.168993359381912,0.3416428516562046,42.09879798569617,5.851253639230843,33.03156717717648,0.9926849471272572
6,shoppers,harpoon_ohe_mae,MAR,0.25,0.7316551564661077,0.0642263702313038,51.16982367031496,5.202440566833856,1.8898986634798347,0.3595417222492822
7,shoppers,GReaT,MAR,0.25,1.5107700227232943,0.0969019149892887,37.69119786416296,5.766661615714606,51.13453906318173,2.2930227252578987
8,shoppers,DiffPuter_Remastered,MAR,0.25,0.7608262516365947,0.0951051099121467,56.1850364490159,4.492863672527401,1.1925768760964277,0.2540244710795349
9,shoppers,Remasker,MAR,0.25,0.7205798320127721,0.1183834959393712,39.82606592720613,6.073047874076625,0.2801794493570924,0.5065534754477181
10,shoppers,GAIN,MAR,0.25,1.6717946462432862,0.2587378002245956,41.24661136069916,7.7019242044010205,0.135334953200072,0.2626560448770771
11,shoppers,Miracle,MAR,0.25,2.21185421502845,0.755691483338673,27.22149527415988,6.8331816914439845,18.27438022252172,0.2980850431188468
12,default,harpoon_ohe_mae,MAR,0.25,0.5124835890248123,0.0616742155261319,73.48921040585654,2.527762946207212,4.046655948460102,0.3359742374072191
13,default,GReaT,MAR,0.25,11.385348948051512,15.121873575959272,44.13044046252181,0.488787578472683,202.71067221630364,7.440809578442989
14,default,DiffPuter_Remastered,MAR,0.25,0.6164204305318949,0.0751000423192632,71.57990623192165,2.532055505885342,2.6215194620192053,0.2602923350657344
15,default,Remasker,MAR,0.25,0.5553069449912568,0.0533886939885875,69.63483739731451,1.7587474364265956,0.329001406673342,0.5263146664544903
16,default,GAIN,MAR,0.25,6.861821452516034,1.6083838669446404,51.29518184946407,2.6553936079787084,0.1476168546825647,0.2766118443297125
17,default,Miracle,MAR,0.25,1.511452627429436,0.3777824686159393,58.50517255547216,5.046460116015336,44.53718336224556,0.2883238714042133
18,gesture,harpoon_ohe_mae,MAR,0.25,0.5140081644058228,0.0940113291144371,,,1.5425634356215596,0.3496348080400405
19,gesture,GReaT,MAR,0.25,289986.59263678617,140322.2076152986,,,131.71737655987965,1.961639503050411
20,gesture,DiffPuter_Remastered,MAR,0.25,0.3996631801128387,0.0721286088228225,,,0.9839190586470068,0.2657528909110707
21,gesture,Remasker,MAR,0.25,0.7021006765539893,0.06368887105166,,,0.2971905367448926,0.5366308953203358
22,gesture,GAIN,MAR,0.25,1.2225927171816031,0.0805069945795193,,,0.1381513718515634,0.2655135531779125
23,gesture,Miracle,MAR,0.25,0.93767537617324,0.1037877079147683,,,23.08568582339212,0.1295252326316014
24,magic,harpoon_ohe_mae,MAR,0.25,0.9668341875076294,0.2923285067081451,,,2.652467651572078,0.3353561954033202
25,magic,GReaT,MAR,0.25,1.637532449940356,0.1491695925840832,,,19.837322882935403,0.8232861434432505
26,magic,DiffPuter_Remastered,MAR,0.25,0.7744160294532776,0.1618303060531616,,,1.6803354682400822,0.2552143679941728
27,magic,Remasker,MAR,0.25,0.8099315676463039,0.1122152877242197,,,0.2963573429733515,0.5316425039796348
28,magic,GAIN,MAR,0.25,1.2700878957124186,0.2425160849604322,,,0.1380616763606667,0.2685375299616663
29,magic,Miracle,MAR,0.25,0.8840902642171701,0.1411557233553519,,,19.989105793368072,0.1061143986111154
30,bean,harpoon_ohe_mae,MAR,0.25,0.1492911130189895,0.0562289208173751,,,2.079460689146072,0.3421635008617293
31,bean,GReaT,MAR,0.25,1.816492078663656,0.0499822073033409,,,75.28545456007123,4.319888934887182
32,bean,DiffPuter_Remastered,MAR,0.25,0.182561993598938,0.0322933942079544,,,1.3171143170446158,0.2602481451478615
33,bean,Remasker,MAR,0.25,0.2263929471441177,0.0561034060182948,,,0.2904575793072581,0.5264221016484937
34,bean,GAIN,MAR,0.25,1.414257642660825,0.0329937951104244,,,0.1397076323628425,0.2701441141565306
35,bean,Miracle,MAR,0.25,0.3074994704332231,0.119959253033461,,,19.85892770988867,0.1274149890944766
36,california,harpoon_ohe_mae,MAR,0.25,0.4152411520481109,0.0443209558725357,,,2.8843479097820817,0.3371740823101355
37,california,GReaT,MAR,0.25,1.5453063602027597,0.046491313653992,,,25.05014655403793,1.3028111104348448
38,california,DiffPuter_Remastered,MAR,0.25,0.4660677909851074,0.0449931472539901,,,1.858024432323873,0.2602707375162039
39,california,Remasker,MAR,0.25,0.88958229396971,0.0343533892141086,,,0.2891741727478802,0.5151449125332859
40,california,GAIN,MAR,0.25,15.063069228605691,4.316691651906453,,,0.1466334748081862,0.2866571040876214
41,california,Miracle,MAR,0.25,0.5004748686778062,0.1079763801030015,,,21.3141733918339,0.0612712537600931
42,letter,harpoon_ohe_mae,MAR,0.25,0.5220597982406616,0.0400821268558502,,,2.80371180428192,0.3332014165277516
43,letter,GReaT,MAR,0.25,1.6695411956422102,0.0441110311072919,,,103.67912015756592,0.5603435031814745
44,letter,DiffPuter_Remastered,MAR,0.25,0.4229366183280945,0.0395638719201087,,,1.787167863920331,0.2540503794179471
45,letter,Remasker,MAR,0.25,0.5713431662752226,0.0268062230418361,,,0.3014649845659732,0.5228942436874345
46,letter,GAIN,MAR,0.25,1.0542895026216963,0.0393954580024601,,,0.1379984519444406,0.2665133287071293
47,letter,Miracle,MAR,0.25,1.3206676719927464,0.106530612974875,,,26.39114070395008,0.28503545817350673
